ID	Mode	Molecular Weight	m/z	ion	RT [min]	Name	Formula	MA	MB	MC	MD	OA	OB	OC	OD
1	p	143.09448	144.1017	M+H	3.829	DL-Stachydrine	C7 H13 N O2	72411618.82	78040078.98		88851067.41	44057274.15		92334585.99	78674965.64
2	p	127.94626	128.95352	M+H	4.365	128.95352_4.365		63610534.65	50782737.57		41623248.6	58655374.42		29384352.31	44083438.64
3	p	129.15178	130.15906	M+H	3.196	"N,N-Diisopropylethylamine (DIPEA)"	C8 H19 N	9570332.133	4012120.606		6908794.321	96645324.84		4489954.369	6145833.99
4	p	137.04751	137.04746	M+H	3.413	Trigonelline	C7 H7 N O2	42070249.98	49222596.57		63467273.19	32170156.19		66752097.09	56937641.51
5	p	161.10502	162.1123	M+H	4.261	L(-)-Carnitine	C7 H15 N O3	50545514.79	42041873.34		53641894.28	25054039.12		50471562.74	41763566.34
6	p	103.98539	104.99268	M+H	4.368	104.99268_4.368		36656689.16	29607276.94		18355404.3	27701640.06		14630656.9	24254275.21
7	p	153.04582	154.05299	M+H	1.7	154.05299_1.7	C4 H11 N O3 S	33898705.73	31068441.88		33667684.8	2956456.892		35003516.99	19077669.84
8	p	179.09451	180.10178	M+H	4.533	Phenacetin	C10 H13 N O2	8643536.506	16812898.59		14326970.97	1360682.5		36878757.11	9843468.69
9	p	142.07416	143.08138	M+H	3.995	Ectoine	C6 H10 N2 O2	15505272.92	23279355.01		19991796.94	4309390.329		24412711.34	26753609.77
10	p	130.11071	131.11787	M+H	4.647	N-Acetylputrescine	C6 H14 N2 O	13928041.97	12323747.89		3926781.026	36247994.22		1973027.389	3751356.451
11	p	143.09448	144.1017	M+H	4.305	DL-Stachydrine	C7 H13 N O2	17876834.3	20834221.61		22403756.95	11797779.88		17713307.09	19948660.76
12	p	113.08434	114.09169	M+H	4.722	Caprolactam	C6 H11 N O	13615406.02	12163199.91		3896028.02	35588619.97		3349557.768	3711910.291
13	p	159.08943	160.09671	M+H	3.772	3-Dehydrocarnitine	C7 H13 N O3	8182258.069	12326543.75		19893941.43	2227631.209		10850640.44	13084807.81
14	p	128.05865	129.06589	M+H	3.925	Dihydrothymine	C5 H8 N2 O2	2403532.88	5818353.09		4615308.694	610631.4788		15851079.24	6147945.129
15	p	217.04082	218.04805	M+H	1.252	tyramine sulfate	C8 H11 N O4 S	12016541.64	2323650.706		1973157.838	4149152.799		1107299.14	3961547.219
16	p	184.0638	184.0638	M+	2.349	Cholinesulfate	C5 H13 N O4 S	11958740.33	7553051.766		7318292.847	6543680.714		7588401.729	9507405.626
17	p	131.09467	132.10194	M+H	3.814	Leucine	C6 H13 N O2	9095866.746	10069092.04		13813317.57	3192892.58		13749969.68	9840174.916
18	p	137.04751	138.05478	M+H	3.814	3-Carboxy-1-methylpyridinium;N-Methylnicotinicacid	C7 H7 N O2	4951778.388	5557844.905		15126963.42	6807721.186		10051998.53	11270172.64
19	p	145.11021	145.1102	M+	4.537	Acetylcholine	C7 H15 N O2	10266763.52	10628204.63		8679167.279	3118083.202		2996207.764	3750168.997
